,Age,W,Pace,eFG%,TOV%,ORB%,FT/FGA,Dfg%,Dtov%,DRB%,Dft/fga,Tm,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%.1.1,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,TS%,3PAr,FTr,ORB%.1,DRB%.1,TRB%,AST%,STL%,BLK%,TOV%.1.1,USG%,year
32,28.6,38,92.7,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,BRK,42.7,93.5,4.575,7.8,22.4,2.6639999999999997,35.0,71.10000000000002,4.9510000000000005,5.004,17.6,23.7,7.61,11.1,37.0,48.1,22.8,7.9,4.5,14.8,20.5,110.8,5.326999999999999,2.532,2.613,49.00000000000001,162.8,106.0,131.7,15.7,13.2,125.6,202.3,2015.0
33,28.8,50,92.8,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,CHI,42.30000000000001,96.0,4.371000000000001,9.1,25.6,2.946,33.300000000000004,70.1,4.686,4.901,23.200000000000006,29.7,7.711,13.5,38.6,51.8,26.0,7.2,6.700000000000001,15.4,20.2,116.6,5.3340000000000005,2.9690000000000003,2.9480000000000013,51.3,143.7,98.6,153.60000000000005,13.299999999999995,16.6,126.5,198.7,2015.0
34,26.0,33,93.0,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,CHO,38.5,90.5,4.32,5.300000000000002,17.2,3.1780000000000004,33.30000000000001,73.4,4.582,4.623,18.9,25.3,7.483,10.5,38.0,48.2,22.1,6.4,5.8,11.900000000000002,18.8,101.2,5.048000000000001,1.941,3.3280000000000003,45.3,164.79999999999995,103.3,143.79999999999995,12.6,18.3,112.5,195.9,2015.0
35,26.9,53,92.3,0.52,13.4,26.8,0.21600000000000005,0.502,12.6,74.7,0.177,CLE,45.3,98.4,4.574,11.599999999999998,31.7,2.7880000000000003,33.5,66.6,4.8660000000000005,5.1400000000000015,20.3,27.1,7.522,12.6,35.7,48.2,26.2,9.500000000000002,4.9,15.9,20.2,122.5,5.446000000000001,3.125,2.5389999999999997,55.1,142.39999999999995,99.40000000000002,147.8,17.400000000000002,14.6,127.3,195.0,2015.0
36,29.9,50,95.2,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,DAL,39.7,87.7,4.5760000000000005,9.500000000000002,26.7,3.153,30.4,61.1,4.973999999999998,5.1610000000000005,16.4,21.7,7.117000000000001,9.7,32.5,42.1,24.4,8.100000000000001,3.7,13.2,19.200000000000006,105.5,5.468999999999999,3.2629999999999995,2.6710000000000003,43.5,148.7,96.0,149.39999999999995,16.8,13.9,120.6,202.9,2015.0
37,26.4,30,96.1,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,DEN,39.8,90.29999999999998,4.398,8.4,25.1,2.426,31.4,65.3,4.692,4.82,19.4,25.9,7.476,13.7,36.3,50.0,21.3,7.300000000000002,5.1000000000000005,14.1,24.0,106.9,5.21,2.523,2.94,61.4,167.0,112.20000000000002,120.5,15.400000000000002,17.8,123.1,197.40000000000003,2015.0
38,25.9,32,92.8,0.482,12.3,27.7,0.184,0.502,13.2,75.0,0.192,DET,42.2,98.3,4.2589999999999995,10.3,28.8,2.769,31.9,69.49999999999999,4.621,4.884,18.8,27.3,7.42,13.6,35.1,48.90000000000001,24.7,8.700000000000001,5.2,14.800000000000002,20.1,113.3,5.227,3.467,2.605,48.8,142.6,94.0,150.7,16.3,13.6,114.6,201.00000000000009,2015.0
39,26.6,67,98.3,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,GSW,43.0,88.89999999999998,4.881,10.999999999999998,26.7,2.635,32.0,62.3,5.1930000000000005,5.353,16.1,20.6,7.287999999999999,10.6,35.30000000000001,45.8,28.8,9.3,5.8,14.4,19.6,112.7,5.634,2.416,2.316,52.6,151.8,103.6,168.9,17.8,17.8,133.0,200.2,2015.0
40,27.6,56,96.5,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.208,HOU,44.7,97.09999999999998,4.690999999999999,11.9,33.7,3.304,33.00000000000001,63.5,5.126,5.279,21.9,31.700000000000006,6.5939999999999985,14.4,39.39999999999999,53.80000000000001,23.6,10.4,7.0,18.200000000000006,25.3,123.40000000000002,5.471,3.299,3.2,63.1,161.1,112.3,135.4,18.6,20.8,141.7,197.2,2015.0
41,28.3,38,93.2,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,IND,39.0,87.60000000000002,4.489000000000001,7.6,21.5,2.583,31.3,66.2,4.761000000000001,4.886,18.9,25.0,7.411,9.9,36.6,46.40000000000001,25.0,6.9,4.5,14.1,21.700000000000006,104.5,5.263,2.2669999999999995,3.0239999999999996,46.20000000000002,164.0,105.5,164.3,14.2,14.5,130.5,202.00000000000003,2015.0
