,Age,W,Pace,ORB%,Tm,3P%,FT%,TOV,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
63,27.6,42,95.7,24.5,CHI,3.2460000000000004,7.8039999999999985,14.1,110.5,5.24,2.6230000000000007,2.113,96.7,143.8,12.2,15.8,2016.0
64,26.0,48,95.7,20.0,CHO,2.890000000000001,7.8450000000000015,12.3,108.2,5.354,3.3600000000000003,2.7130000000000005,106.7,137.79999999999998,14.3,19.500000000000004,2016.0
65,28.1,57,93.3,25.1,CLE,2.9730000000000003,7.624,14.4,114.4,5.541,3.404,2.524,97.4,154.70000000000005,14.1,12.8,2016.0
66,30.3,42,94.3,20.6,DAL,2.8800000000000003,8.072000000000001,12.7,106.1,5.383000000000001,3.359,2.805,94.7,153.7,15.000000000000005,10.2,2016.0
67,24.7,33,95.7,25.8,DEN,3.44,7.9289999999999985,15.0,110.6,5.2810000000000015,2.8139999999999996,2.512,105.5,152.9,14.2,14.699999999999998,2016.0
68,25.0,44,95.1,27.0,DET,3.1060000000000003,7.379999999999999,14.3,115.6,5.269,3.4440000000000004,2.648,105.4,130.99999999999997,13.7,12.000000000000002,2016.0
69,27.4,73,99.3,23.5,GSW,4.324,7.499,14.7,114.3,5.792000000000002,3.1670000000000007,2.1990000000000003,101.1,161.4,16.0,18.4,2016.0
70,27.8,41,97.6,25.7,HOU,2.742,7.004,15.500000000000002,109.90000000000002,5.391,3.662,3.244,94.0,139.2,19.9,17.900000000000006,2016.0
71,26.9,45,96.6,23.4,IND,2.234,7.497999999999998,14.9,107.70000000000002,5.410000000000001,2.273,2.6790000000000003,105.9,122.3,17.3,18.0,2016.0
72,29.7,53,95.8,20.1,LAC,3.117,7.3969999999999985,12.6,111.6,5.412999999999999,3.5789999999999997,3.1660000000000004,86.1,156.4,18.0,13.0,2016.0
73,26.5,17,95.6,23.1,LAL,2.292,8.004999999999999,13.9,103.3,5.199,2.549,2.879,91.29999999999998,142.4,15.099999999999998,13.3,2016.0
74,30.5,42,93.3,25.3,MEM,3.627,7.9529999999999985,13.9,112.6,5.276,2.458,3.031,96.0,145.20000000000005,19.7,14.999999999999998,2016.0
75,28.4,48,93.6,23.8,MIA,3.037,7.415999999999999,15.5,122.7,5.534,2.648,2.661,94.0,134.1,14.4,19.0,2016.0
76,23.5,33,94.2,24.9,MIL,2.234,7.2929999999999975,16.200000000000006,109.4,5.345999999999999,2.153,2.592,98.9,137.0,17.099999999999998,26.8,2016.0
77,24.6,29,95.2,24.3,MIN,3.174,7.812,14.6,106.5,5.392,2.415,3.199,91.0,151.6,16.4,13.2,2016.0
78,26.6,30,96.8,21.2,NOP,2.7319999999999998,7.756,13.4,113.2,5.384,2.617,2.6660000000000004,101.6,127.9,15.8,15.2,2016.0
79,27.2,32,93.4,23.7,NYK,3.0929999999999995,8.147,12.4,102.4,5.303000000000001,2.96,2.506,92.70000000000002,137.6,12.8,13.800000000000002,2016.0
80,25.8,55,96.7,31.1,OKC,2.85,7.264999999999999,15.3,110.7,5.547999999999999,2.611,2.7439999999999998,110.5,115.6,14.099999999999998,17.7,2016.0
81,23.9,35,96.0,23.1,ORL,3.2589999999999995,7.862999999999999,13.9,108.6,5.428000000000001,2.88,2.115,103.3,132.7,15.6,19.4,2016.0
