,Age,W,L,MOV,SOS,ORtg,DRtg,NRtg,Pace,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Tm,Age,G,GS,MPG,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,year
4,26.0,33,49,-3.17,-0.27,100.1,103.5,-3.4,93.0,0.456,11.2,22.1,0.20199999999999999,0.48700000000000004,12.0,79.3,0.188,CHO,257,642,381,258.1,38.5,90.5,4.32,5.300000000000001,17.2,3.1780000000000004,33.30000000000001,73.4,4.582,4.623,18.900000000000002,25.3,7.4830000000000005,10.5,38.0,48.2,22.1,6.3999999999999995,5.8,11.900000000000002,18.8,101.19999999999999,16612,137.1,5.048000000000001,1.9409999999999998,3.3280000000000003,45.3,164.79999999999995,103.3,143.79999999999998,12.6,18.3,112.5,195.89999999999998,8.200000000000001,21.5,29.700000000000003,0.8270000000000001,-14.100000000000001,4.199999999999999,-10.2,5.3999999999999995,20150
5,26.9,53,29,4.48,-0.4,111.1,106.3,4.8,92.3,0.52,13.4,26.8,0.21600000000000003,0.502,12.6,74.7,0.177,CLE,265,588,365,277.8,45.3,98.4,4.574,11.599999999999998,31.7,2.7880000000000003,33.5,66.6,4.8660000000000005,5.140000000000001,20.299999999999997,27.1,7.522,12.6,35.699999999999996,48.199999999999996,26.2,9.500000000000002,4.8999999999999995,15.9,20.2,122.49999999999999,16745,157.79999999999998,5.446,3.125,2.5389999999999993,55.1,142.39999999999998,99.40000000000002,147.8,17.400000000000002,14.6,127.3,194.99999999999997,33.199999999999996,15.700000000000001,49.3,1.2149999999999999,8.6,-2.220446049250313e-16,8.7,15.9,20150
6,29.9,50,32,2.9,0.46,109.5,106.4,3.1,95.2,0.515,11.9,23.6,0.19699999999999998,0.503,14.7,72.2,0.204,DAL,300,709,379,241.39999999999998,39.699999999999996,87.7,4.576,9.500000000000002,26.7,3.153,30.400000000000002,61.099999999999994,4.973999999999999,5.161,16.4,21.7,7.117,9.7,32.5,42.1,24.400000000000002,8.100000000000001,3.7,13.2,19.200000000000003,105.49999999999999,17107,157.5,5.469,3.2629999999999995,2.671,43.5,148.7,95.99999999999999,149.39999999999998,16.8,13.899999999999999,120.60000000000001,202.9,25.3,15.7,41.1,1.092,8.299999999999999,-0.9,7.3,12.6,20150
7,26.4,30,52,-3.55,0.48,104.5,108.2,-3.7,96.1,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,DEN,265,618,396,253.6,39.8,90.29999999999998,4.398,8.4,25.099999999999998,2.426,31.400000000000002,65.3,4.692,4.82,19.400000000000002,25.900000000000002,7.476,13.7,36.300000000000004,50.0,21.299999999999997,7.300000000000001,5.1000000000000005,14.100000000000001,24.0,106.9,15884,144.0,5.21,2.5229999999999997,2.94,61.4,167.0,112.20000000000002,120.5,15.400000000000002,17.8,123.1,197.40000000000003,17.7,11.400000000000002,29.0,0.823,-4.199999999999998,-4.2,-8.3,6.299999999999998,20150
8,25.9,32,50,-1.0,-0.39,105.3,106.4,-1.1,92.8,0.48200000000000004,12.3,27.7,0.184,0.502,13.2,75.0,0.192,DET,263,600,375,268.70000000000005,42.2,98.3,4.259,10.3,28.8,2.7689999999999997,31.9,69.49999999999999,4.621,4.8839999999999995,18.799999999999997,27.3,7.42,13.6,35.1,48.900000000000006,24.7,8.700000000000001,5.2,14.800000000000002,20.099999999999998,113.3,16114,148.20000000000002,5.227,3.467,2.605,48.8,142.6,94.0,150.7,16.3,13.600000000000001,114.6,201.00000000000006,18.1,15.0,32.900000000000006,0.9319999999999999,1.5999999999999999,-2.0999999999999996,-0.5000000000000004,7.399999999999999,20150
9,26.6,67,15,10.1,-0.09,111.6,101.4,10.2,98.3,0.54,13.1,24.1,0.184,0.47,14.3,74.5,0.217,GSW,276,731,399,242.9,43.0,88.89999999999999,4.881,10.999999999999998,26.7,2.6350000000000002,32.0,62.3,5.1930000000000005,5.353,16.1,20.6,7.288,10.6,35.300000000000004,45.8,28.8,9.299999999999999,5.8,14.399999999999999,19.6,112.7,18089,172.20000000000005,5.6339999999999995,2.416,2.316,52.6,151.8,103.6,168.9,17.8,17.8,133.0,200.2,35.300000000000004,28.0,63.300000000000004,1.6079999999999999,10.099999999999996,9.700000000000001,19.7,21.6,20150
10,27.6,56,26,3.44,0.38,107.0,103.4,3.6,96.5,0.512,15.0,26.8,0.223,0.486,14.6,72.9,0.20800000000000002,HOU,281,621,388,273.0,44.7,97.09999999999998,4.690999999999999,11.9,33.699999999999996,3.304,33.00000000000001,63.5,5.126,5.279,21.900000000000002,31.700000000000003,6.593999999999999,14.4,39.39999999999999,53.80000000000001,23.6,10.399999999999999,7.0,18.200000000000003,25.3,123.40000000000002,17093,154.3,5.471,3.299,3.2,63.099999999999994,161.1,112.3,135.4,18.599999999999998,20.8,141.7,197.20000000000002,25.39999999999999,22.5,48.1,1.253,1.3000000000000007,5.400000000000001,6.699999999999999,15.100000000000003,20150
11,28.3,38,44,0.28,-0.51,103.5,103.2,0.3,93.2,0.484,13.1,24.0,0.201,0.478,12.0,77.9,0.217,IND,287,660,396,250.30000000000004,39.0,87.60000000000001,4.489000000000001,7.6000000000000005,21.5,2.583,31.3,66.2,4.761000000000001,4.886,18.900000000000002,25.0,7.4110000000000005,9.899999999999999,36.6,46.400000000000006,25.0,6.9,4.5,14.1,21.700000000000003,104.50000000000001,16518,148.7,5.263,2.2669999999999995,3.024,46.20000000000002,164.0,105.49999999999999,164.3,14.200000000000001,14.5,130.5,202.00000000000003,15.099999999999998,22.300000000000004,37.5,1.12,-2.0,5.900000000000001,3.8000000000000003,9.4,20150
12,28.8,56,26,6.59,0.22,112.4,105.5,6.9,94.7,0.5329999999999999,11.6,22.8,0.215,0.493,13.2,75.7,0.231,LAC,290,699,406,252.20000000000002,42.6,90.0,4.733999999999999,10.5,27.9,3.228,32.3,62.29999999999999,5.136,5.356999999999999,19.500000000000004,27.5,7.012,10.1,34.7,44.6,26.0,8.0,5.2,12.3,22.3,115.39999999999999,18090,155.6,5.5760000000000005,3.327,2.994,40.4,147.9,95.30000000000001,144.5,16.400000000000002,16.6,111.89999999999999,196.99999999999997,38.000000000000014,19.100000000000005,57.1,1.24,7.1,1.1999999999999995,8.3,18.299999999999997,20150
13,27.0,21,61,-6.84,0.67,103.4,110.6,-7.2,94.0,0.473,12.1,25.4,0.204,0.518,12.1,76.3,0.231,LAL,271,648,357,255.1,41.3,95.9,4.379,6.5,19.7,2.306,34.9,76.49999999999999,4.529000000000001,4.710999999999999,19.3,25.599999999999998,7.409,12.0,35.7,47.50000000000001,23.499999999999996,7.300000000000001,4.6,14.100000000000001,21.2,108.4,16282,144.89999999999998,5.0840000000000005,1.9499999999999997,2.675,52.599999999999994,161.1,104.6,147.5,14.3,16.2,111.3,204.70000000000002,13.1,7.199999999999999,20.4,0.566,-3.9,-9.299999999999999,-13.299999999999999,3.1,20150
14,29.6,55,27,3.24,0.38,105.7,102.2,3.5,92.0,0.489,12.6,24.7,0.214,0.49200000000000005,14.5,75.3,0.183,MEM,300,691,390,250.9,39.60000000000001,86.70000000000002,4.546,5.6000000000000005,16.4,2.8420000000000005,34.1,70.19999999999999,4.775,4.874999999999999,18.799999999999997,24.099999999999998,7.552999999999999,10.4,32.900000000000006,43.099999999999994,23.6,9.6,4.4,13.999999999999998,19.3,104.0,17350,151.60000000000002,5.247000000000001,1.98,2.5420000000000003,46.6,146.70000000000002,96.89999999999999,152.5,20.599999999999998,14.100000000000001,128.1,198.10000000000002,20.1,25.299999999999997,45.2,1.148,-1.9000000000000004,10.5,8.5,14.3,20150
15,28.5,37,45,-2.6,-0.32,103.9,106.7,-2.8,90.9,0.5,14.5,23.2,0.22699999999999998,0.505,14.2,73.4,0.213,MIA,288,588,328,250.30000000000004,39.00000000000001,84.10000000000001,4.635,5.8999999999999995,18.0,2.771,33.1,66.0,4.946,5.009,20.5,27.900000000000002,7.2669999999999995,10.400000000000002,34.3,44.800000000000004,21.0,7.9,5.699999999999999,15.299999999999997,18.400000000000002,104.5,14796,152.0,5.4030000000000005,2.3149999999999995,3.3710000000000004,55.60000000000001,166.9,112.60000000000001,139.5,16.3,20.7,142.8,195.3,14.799999999999997,13.8,28.599999999999998,0.9359999999999999,-2.3,-3.3000000000000007,-5.300000000000001,6.1,20150
16,24.6,41,41,0.43,-0.52,102.7,102.2,0.5,94.1,0.499,15.5,25.4,0.195,0.48700000000000004,15.9,73.3,0.221,MIL,252,655,339,259.0,41.9,91.7,4.630000000000001,7.9,21.400000000000002,2.5569999999999995,34.099999999999994,70.3,4.911,5.036,19.599999999999998,25.1,7.689,10.4,33.699999999999996,44.10000000000001,27.800000000000004,10.7,5.1,18.200000000000003,23.000000000000004,111.2,16773,152.5,5.425000000000001,2.225,2.751,50.10000000000001,147.7,99.19999999999999,168.50000000000003,20.599999999999998,18.5,149.3,206.89999999999998,15.5,24.199999999999996,39.7,1.121,-2.5,7.199999999999999,4.8,10.3,20150
17,24.4,16,66,-8.79,0.79,102.9,112.2,-9.3,94.4,0.46799999999999997,13.7,26.6,0.24,0.537,13.9,71.6,0.187,MIN,250,553,323,269.7,44.800000000000004,102.00000000000001,4.413,6.299999999999999,18.0,2.9099999999999997,38.5,83.89999999999999,4.5920000000000005,4.719,24.9,31.5,7.821,13.500000000000002,31.9,45.199999999999996,23.1,8.3,4.0,16.0,19.599999999999998,121.2,14981,148.60000000000002,5.209,1.729,3.0489999999999995,55.50000000000001,144.3,98.5,141.5,15.299999999999999,11.399999999999999,122.89999999999999,212.60000000000002,12.5,2.5,15.1,0.512,0.1999999999999999,-17.400000000000002,-17.200000000000003,0.6999999999999998,20150
18,25.3,45,37,0.79,0.34,108.2,107.3,0.9,91.4,0.501,12.5,27.1,0.198,0.496,11.7,75.1,0.195,NOP,254,627,404,269.6,43.900000000000006,94.3,4.69,9.0,23.400000000000002,2.5989999999999998,34.800000000000004,71.2,4.76,5.227,18.2,24.099999999999998,7.4719999999999995,13.299999999999999,36.10000000000001,49.5,24.7,7.7,7.199999999999999,13.900000000000002,20.6,114.99999999999999,16815,162.1,5.5329999999999995,2.58,2.4720000000000004,58.99999999999999,156.9,108.1,132.30000000000004,14.099999999999998,19.9,119.7,192.5,27.6,14.6,42.1,1.156,8.3,-2.2000000000000006,5.8999999999999995,12.8,20150
19,26.9,17,65,-9.32,-0.18,99.9,110.0,-10.1,91.2,0.47,14.0,24.5,0.18,0.512,13.3,73.1,0.23399999999999999,NYK,266,560,282,253.49999999999997,39.300000000000004,89.4,4.428000000000001,7.2,20.4,2.742,32.4,69.1,4.631,4.787,16.599999999999998,21.1,7.970999999999999,11.0,31.3,41.99999999999999,22.0,7.1,4.0,14.100000000000001,22.000000000000004,102.5,13654,138.2,5.165000000000001,2.058,2.317,52.3,154.1,101.69999999999999,145.60000000000002,14.4,15.7,132.0,199.10000000000002,8.5,5.9,14.399999999999999,0.5409999999999999,-9.3,-11.9,-21.0,-0.5000000000000004,20150
20,25.4,45,37,2.18,0.28,107.8,105.5,2.3,95.7,0.49200000000000005,13.1,28.9,0.214,0.489,12.4,75.6,0.213,OKC,261,583,328,264.4,45.60000000000001,100.39999999999998,4.561,9.3,26.6,2.6229999999999998,36.3,73.8,5.007,4.987,22.700000000000003,29.8,7.079,13.0,38.8,51.79999999999999,24.700000000000003,8.1,6.600000000000001,16.5,23.2,123.20000000000002,15096,155.6,5.296,2.534,2.894,56.699999999999996,155.5,106.80000000000001,143.5,15.1,20.400000000000002,136.8,195.70000000000002,22.7,16.4,38.99999999999999,1.18,5.500000000000001,4.6,10.2,12.500000000000004,20150
21,24.3,25,57,-5.72,-0.15,101.6,107.7,-6.1,93.8,0.494,14.0,23.1,0.168,0.514,13.6,76.0,0.21,ORL,242,638,396,254.40000000000003,40.3,88.10000000000002,4.569,7.2,20.1,2.9659999999999997,33.0,67.80000000000001,4.807,5.0,15.100000000000001,20.700000000000003,7.372,11.4,35.1,46.2,21.2,8.2,4.4,15.100000000000001,22.5,103.10000000000001,16908,137.20000000000002,5.2860000000000005,2.4549999999999996,2.3990000000000005,54.00000000000001,162.00000000000003,107.0,120.7,16.0,17.2,144.4,189.6,12.299999999999999,13.799999999999999,26.000000000000004,0.6990000000000001,-11.299999999999999,-3.0000000000000004,-14.2,4.6000000000000005,20150
