,3P%,FT%,TRB,AST,STL,BLK,PF,PTS,TEAM,AGE,W,SOS,PACE,3PAr,TS%,TOV%,ORB%,FT/FGA,D_eFG%,D_TOV%,DRB%,D_FT/FGA,SEASON
181,0.376,0.759,40.6,19.3,8.2,3.6,20.1,100.0,NYK,30.2,54.0,-0.5,89.8,0.354,0.55,11.7,25.6,0.196,0.508,14.8,74.7,0.21600000000000005,2012-13
182,0.336,0.741,41.7,20.1,9.4,4.2,21.1,97.8,NYK,26.3,36.0,-0.81,93.2,0.28800000000000003,0.5329999999999999,14.9,26.6,0.227,0.485,15.9,73.7,0.224,2011-12
183,0.368,0.809,40.5,21.4,7.6,5.8,21.3,106.5,NYK,25.3,42.0,-0.3,95.6,0.303,0.561,12.6,24.2,0.246,0.511,13.8,71.9,0.24,2010-11
184,0.355,0.797,42.7,21.9,7.6,5.0,18.8,110.8,OKC,25.6,40.0,0.34,98.6,0.345,0.5770000000000001,12.3,19.2,0.233,0.52,12.4,76.8,0.16399999999999998,2019-20
185,0.348,0.713,48.1,23.4,9.3,5.2,22.4,114.5,OKC,25.7,49.0,0.15,102.8,0.34700000000000003,0.545,11.7,26.0,0.19,0.523,14.4,78.2,0.206,2018-19
186,0.354,0.716,45.1,21.3,9.1,5.0,20.2,107.9,OKC,27.3,48.0,0.0,96.7,0.345,0.546,12.4,27.7,0.197,0.525,14.7,77.4,0.193,2017-18
187,0.327,0.745,46.6,21.0,7.9,5.0,20.9,106.6,OKC,24.7,47.0,0.39,97.8,0.295,0.54,13.2,27.9,0.22,0.511,12.5,79.0,0.218,2016-17
188,0.349,0.782,48.6,23.0,7.4,5.9,20.6,110.2,OKC,25.8,55.0,-0.19,96.7,0.275,0.565,14.0,31.1,0.228,0.484,11.7,76.0,0.205,2015-16
189,0.339,0.754,47.5,20.5,7.3,5.5,22.3,104.0,OKC,25.4,45.0,0.28,95.7,0.262,0.532,13.1,28.9,0.214,0.489,12.4,75.6,0.213,2014-15
190,0.361,0.8059999999999999,44.7,21.9,8.3,6.1,22.7,106.2,OKC,26.2,59.0,0.32,95.4,0.271,0.5660000000000001,14.0,26.5,0.244,0.488,13.9,75.6,0.221,2013-14
