,Age,W,TOV%,ORB%,Dfg%,DRB%,Tm,3P%,2P,FT%,DRB,PTS,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,year
85,26.6,33,14.2,23.9,0.521,74.9,SAC,2.908,36.3,7.066,38.1,118.8,5.547999999999999,2.42,2.853,103.5,132.70000000000002,17.2,16.599999999999998,2016.0
86,30.3,67,12.4,23.0,0.47700000000000004,79.1,SAS,3.08,33.2,7.8279999999999985,34.300000000000004,103.0,5.5390000000000015,2.256,2.225,103.8,165.99999999999997,18.6,18.9,2016.0
87,26.3,56,12.3,24.6,0.498,77.7,TOR,2.844,30.7,7.3569999999999975,36.1,113.0,5.466000000000001,2.866,3.139,106.3,113.3,16.3,20.1,2016.0
88,24.2,40,14.2,25.9,0.495,77.7,UTA,2.866,30.2,7.3439999999999985,34.40000000000001,105.1,5.4129999999999985,3.028,2.687,101.5,144.0,16.8,15.400000000000002,2016.0
89,27.3,41,13.1,20.6,0.515,77.7,WAS,2.92,36.0,7.4330000000000025,35.30000000000001,118.9,5.56,2.734,2.692,93.7,152.09999999999997,17.2,12.2,2016.0
90,27.9,43,14.2,23.6,0.507,76.1,ATL,3.083,30.4,7.6110000000000015,34.599999999999994,109.0,5.449,3.237,2.8469999999999995,93.4,155.60000000000005,17.599999999999994,17.599999999999994,2017.0
91,25.9,53,12.2,21.2,0.503,75.3,BOS,3.5730000000000004,28.3,7.626,34.7,115.1,5.598,3.895,2.472,100.5,158.69999999999996,15.7,13.7,2017.0
92,26.0,20,14.7,19.6,0.513,76.1,BRK,3.217,26.7,7.875,33.7,101.5,5.447,3.669,2.89,94.4,140.0,14.2,14.599999999999998,2017.0
93,26.9,41,12.3,27.0,0.507,76.8,CHI,2.6340000000000003,34.7,7.544,35.30000000000001,110.29999999999998,5.419,2.319,2.488,110.2,138.4,15.4,15.6,2017.0
94,26.5,36,10.7,19.9,0.523,79.6,CHO,2.501,29.9,8.125,36.89999999999999,112.3,5.5070000000000014,2.7840000000000003,3.209,99.3,146.99999999999997,13.9,19.4,2017.0
95,29.2,51,12.6,21.9,0.516,75.8,CLE,3.4530000000000003,28.7,7.5509999999999975,38.2,122.7,5.721999999999999,4.5760000000000005,2.4639999999999995,97.30000000000004,127.59999999999998,14.3,12.6,2017.0
96,27.6,33,11.6,18.1,0.529,77.6,DAL,3.5060000000000002,26.7,8.032,29.5,104.7,5.551,3.648,2.515,92.1,146.6,16.9,15.2,2017.0
97,25.2,40,13.2,27.3,0.532,78.7,DEN,3.284,33.0,7.806999999999999,36.0,123.8,5.69,3.459,2.8489999999999998,104.3,151.8,14.2,10.9,2017.0
98,25.4,37,10.9,24.1,0.516,81.2,DET,2.869,34.0,7.7440000000000015,34.7,106.70000000000002,5.192000000000001,2.384,2.153,98.1,156.6,14.199999999999998,12.7,2017.0
99,28.2,67,13.2,22.8,0.486,74.9,GSW,3.285,30.0,7.83,34.4,117.09999999999998,5.855,3.0789999999999997,2.4639999999999995,96.2,179.29999999999995,19.2,19.7,2017.0
100,27.4,55,13.3,24.6,0.519,75.8,HOU,2.8790000000000004,28.7,7.0870000000000015,36.49999999999999,121.59999999999998,5.817,3.917,2.7880000000000003,104.9,136.89999999999998,15.900000000000002,16.7,2017.0
101,27.0,42,12.8,21.2,0.512,75.5,IND,2.978,30.70000000000001,7.7,32.90000000000001,105.8,5.496,2.628,2.3160000000000003,99.3,134.3,16.200000000000006,17.4,2017.0
102,30.0,51,12.0,21.5,0.506,76.9,LAC,3.235,31.2,7.555,35.8,115.9,5.634,3.475,2.9130000000000003,99.8,146.3,16.200000000000006,15.2,2017.0
103,25.1,26,13.5,25.0,0.542,75.8,LAL,3.1210000000000004,30.9,7.6919999999999975,33.2,112.5,5.4079999999999995,2.7260000000000004,2.642,101.2,127.0,16.2,13.900000000000002,2017.0
104,29.5,43,12.1,24.8,0.506,77.5,MEM,3.3600000000000003,27.500000000000004,7.764000000000001,33.0,107.1,5.308999999999998,3.725,2.823,96.5,144.9,16.5,13.4,2017.0
105,26.5,41,12.4,24.2,0.496,76.4,MIA,3.2160000000000006,32.2,7.087999999999999,34.800000000000004,116.8,5.465,3.607999999999999,2.226,96.8,131.39999999999998,14.2,18.5,2017.0
106,25.6,42,13.2,21.5,0.518,75.4,MIL,3.0010000000000003,32.0,7.824000000000002,32.300000000000004,107.7,5.642,3.274,2.4,98.8,148.0,16.200000000000006,19.5,2017.0
107,24.0,31,12.9,27.2,0.535,75.9,MIN,3.4720000000000004,34.1,7.7440000000000015,32.5,116.3,5.3740000000000006,3.159,2.533,90.8,150.39999999999995,17.4,14.1,2017.0
108,25.7,34,11.7,18.5,0.509,76.8,NOP,3.077,31.1,7.417000000000002,35.5,107.69999999999996,5.324,3.42,2.155,91.5,133.2,15.4,18.3,2017.0
109,27.3,31,12.4,26.6,0.511,74.1,NYK,2.735,34.0,7.685,35.4,111.4,5.366999999999999,2.571,2.4210000000000003,114.0,143.7,14.8,22.2,2017.0
110,24.7,47,13.2,27.9,0.511,79.0,OKC,2.696,30.70000000000001,6.778,34.7,105.60000000000002,5.299,3.154,2.7239999999999998,105.6,133.10000000000002,15.3,16.4,2017.0
111,25.3,29,12.1,21.6,0.523,77.4,ORL,2.839,31.6,7.606,34.6,104.90000000000002,5.204,2.968,2.7840000000000003,97.2,144.0,13.9,16.299999999999994,2017.0
112,24.6,28,14.9,22.4,0.512,75.3,PHI,2.951,27.3,7.693,32.800000000000004,101.9,5.345,3.4799999999999995,2.381,93.6,156.5,16.099999999999998,14.8,2017.0
113,25.0,24,13.4,26.0,0.525,76.4,PHO,2.841,34.40000000000001,7.617000000000001,36.10000000000001,115.3,5.49,2.5,3.08,103.79999999999998,132.8,16.4,15.500000000000002,2017.0
114,24.8,41,12.5,23.0,0.508,76.8,POR,2.8760000000000003,31.3,7.502999999999999,37.2,113.6,5.486999999999999,2.7889999999999997,2.971,110.5,122.8,13.2,17.2,2017.0
115,27.9,32,13.7,21.0,0.528,76.3,SAC,2.9450000000000003,28.599999999999994,7.64,33.099999999999994,104.59999999999997,5.5390000000000015,3.1980000000000004,2.638,97.1,149.20000000000005,15.9,14.8,2017.0
116,29.6,61,12.6,24.0,0.4920000000000001,77.6,SAS,3.141,31.7,7.755000000000001,34.0,108.2,5.642999999999999,2.665,2.5610000000000004,106.9,157.00000000000003,16.9,19.5,2017.0
117,26.1,51,11.8,25.0,0.507,76.3,TOR,3.3389999999999995,31.70000000000001,7.6770000000000005,33.0,114.10000000000002,5.681,3.0250000000000004,2.6830000000000003,100.0,110.70000000000002,17.6,20.6,2017.0
118,26.8,51,13.2,23.2,0.493,78.9,UTA,3.1739999999999995,30.1,7.475,34.49999999999999,109.9,5.587999999999999,3.1990000000000003,2.6740000000000004,93.7,149.29999999999995,14.4,13.599999999999998,2017.0
119,26.0,49,12.8,24.1,0.524,75.5,WAS,3.365,33.5,7.777000000000001,32.7,116.8,5.646000000000001,2.9360000000000004,2.2940000000000005,93.6,135.99999999999997,15.100000000000005,13.9,2017.0
120,25.4,24,14.1,21.1,0.536,76.2,ATL,3.487,28.7,8.135,32.7,109.7,5.561,3.5930000000000004,2.5669999999999997,95.3,166.30000000000004,16.900000000000002,15.299999999999995,2018.0
121,24.7,55,13.0,21.5,0.495,78.4,BOS,3.4890000000000003,29.20000000000001,7.567000000000001,37.1,114.8,5.464,3.675,2.435,103.8,141.5,14.4,16.8,2018.0
122,25.1,28,13.6,21.0,0.517,77.0,BRK,3.4730000000000003,26.899999999999995,7.755000000000001,35.5,112.8,5.599,4.008000000000001,2.644,99.7,157.9,12.4,15.9,2018.0
